Entity,Code,gdp_per_capita,life_expectancy,child_mortality
Singapore,SGP,80320.086,82.9211,0.22
Slovakia,SVK,27519.287,77.0356,0.6
Slovenia,SVN,32673.762,80.7933,0.23
South Africa,ZAF,11415.887,65.4536,3.44
South Korea,KOR,41320.9,82.727,0.28
Spain,ESP,34123.387,82.3661,0.31
Sri Lanka,LKA,10705.481,77.2996,0.64
Sweden,SWE,47126.13,83.046,0.25
Switzerland,CHE,63323.254,83.2003,0.4
Syria,SYR,2494.7612,72.7898,2.11
Taiwan,TWN,53142.984,80.1569,
Tajikistan,TJK,5507.5454,71.5624,2.77
Tanzania,TZA,3057.3286,66.8786,4.05
Thailand,THA,16421.072,75.2913,0.95
Togo,TGO,1586.5889,62.2898,6.02
Trinidad and Tobago,TTO,25773.006,73.3308,1.96
Tunisia,TUN,10913.846,76.0505,1.39
Turkey,TUR,27361.988,77.5913,0.96
Turkmenistan,TKM,17234.555,69.9133,4.1
Uganda,UGA,2122.0278,67.6747,4.05
Ukraine,UKR,7749.0996,72.6582,0.85
United Arab Emirates,ARE,77203.67,80.4868,0.53
United Kingdom,GBR,38406.53,81.0744,0.45
United States,USA,58487.465,77.9789,0.65
Uruguay,URY,20181.94,76.4682,0.68
Uzbekistan,UZB,12559.401,72.1465,1.38
Venezuela,VEN,5267.1753,72.5656,2.43
Vietnam,VNM,8050.359,74.5025,2.04
Yemen,YEM,1959.3195,67.9517,4.08
Zambia,ZMB,3342.4214,65.2791,4.67
Zimbabwe,ZWE,1703.5294,62.3601,4.6
